system,system_name,Alg I,Alg II,Bio I,Chemistry,ELA,Eng I,Eng II,Eng III,Math,Science,Enrollment,Black,Hispanic,Native American,English Learners,Students with Disabilities,Economically Disadvantaged,Per-Pupil Expenditures,Black/Hispanic/Native American,ACT Composite,Chronic Absence,Suspension Rate,Expulsion Rate,Graduation,Dropout,Alg I Growth,Alg II Growth,Bio I Growth,Chemistry Growth,ELA Growth,Eng I Growth,Eng II Growth,Eng III Growth,Math Growth,Science Growth,Region
170,Crockett County,78,63.5,77.9,43.7,48.8,71.6,65.5,50,57.2,67.3,1932,13.7,14.4,0.1,0.4,11.6,62.4,8093.5,28.2,19.1,4.2,0,0.1,95.9,3.1,9.6,28.3,10.2,2.4,1.1,1.2,7.5,3,11.2,3.7,Northwest
171,Alamo City,,,,,53.5,,,,62.8,74.6,578,11.6,16.7,0,1.1,11.4,69.9,8669.4,28.3,,7.8,0.2,0,,,,,,,-4.2,,,,-8.2,-1.1,Northwest
172,Bells City,,,,,60.8,,,,60.8,79.5,365,16.3,21,0,13.2,13.2,74.1,8817.6,37.3,,3.2,0.2,0,,,,,,,8.9,,,,-1.7,7.5,Northwest
180,Cumberland County,84.3,63.5,72.5,52.1,52,79.7,65.4,54,58.9,71.2,7067,1.3,4.7,0.3,1.8,15.9,63.8,8490.6,6.3,19.6,11.7,0.7,0,93,3.9,10.1,0.1,-0.2,1.9,-2.2,0.2,-5.4,5.2,3.6,0.2,Upper Cumberland
190,Davidson County,65.9,40.4,51.7,36.8,39.4,63.7,56.3,29.9,45.4,49.2,79934,44.3,20.7,0.2,16.2,12.4,75.3,11496.3,65.2,18.7,14.5,10.7,0.4,78.7,14.6,7.9,11.8,2.3,11.4,-1.3,1.3,1.2,7,2.8,1.1,Mid Cumberland
200,Decatur County,70.2,44.3,72.7,42.9,47.1,73.8,69.7,61.1,59.7,71.1,1529,4.2,4.7,0.2,1.1,18.9,57.7,8907.4,9.1,18.6,19.3,0.2,0.1,94.4,4.8,1.2,-5.2,14.2,2.9,1.3,-0.6,18.1,15.1,7.9,2.5,Southwest/Memphis
210,DeKalb County,52.9,55.6,72.1,53.9,45.7,73.4,72,31,54.4,65.9,2849,1.8,11.3,0.1,5.3,14.4,64.4,7982.5,13.2,17.7,13.9,3.8,0,94.9,2.2,-10.7,10.1,-4.6,17.2,-2.3,-0.5,16.1,5.8,9.8,-0.8,Upper Cumberland
220,Dickson County,68.4,56.6,69.6,42.8,52.2,82.8,71.7,44.5,59.6,75.8,8120,8.1,4.9,0.6,1.6,16.2,53.1,8472.8,13.6,21,12.2,0.5,0,90.7,7.4,-6.7,11.8,-2.1,8.8,-5.4,-0.2,-0.2,-2.4,1.8,0.3,Mid Cumberland
230,Dyer County,88.4,77.7,80.8,58,54.7,75,68.5,54.3,63.8,73.4,3739,7.1,3.1,0.2,0.1,11.1,60.1,8483,10.4,21.3,9.6,0,0,95,3.3,12.4,7.7,1.9,14.7,0.2,8.2,2.8,9.3,7.4,6.6,Northwest
231,Dyersburg City,66.4,67.6,69.4,49.7,46,70.5,67.2,22.5,57.4,60.8,2456,43.8,5,0.3,0.1,15.9,72.5,9968.2,49.1,21.7,12.4,9.2,0,83.2,12.5,-11.5,17.6,17.7,-0.3,1.4,-0.8,4.9,-15.3,7.4,6.4,Northwest
240,Fayette County,39.7,14.7,56.1,20.2,32.6,58.9,53.2,35.4,36.1,41.1,3220,58.8,5,0.1,2.3,13.9,80.6,9125.9,63.9,16.6,14.5,12.9,0,80.6,15.9,1.9,1,8.4,3.2,-1.1,-0.4,6.6,-3,8.8,1.8,Southwest/Memphis
250,Fentress County,81.4,30.4,100,62.1,43.6,73.8,71.7,52.9,51.1,59.5,2092,0.5,1.2,0.1,0.5,16.5,74.7,9043.8,1.8,17.4,11.9,0,0,93.8,6.3,19.7,-11.6,45.1,50.2,-1.3,-4.6,5.9,8.1,13.6,-2.8,Upper Cumberland
260,Franklin County,64.5,53,61,29.7,42.2,71.2,62.6,41.2,45.8,58.2,5276,7.1,4.5,0.4,1,15.2,57.7,8610.1,12,18.7,12.8,4.1,0,89.1,5.6,12.1,14.4,6,9.8,-1.2,5.7,5.1,4.1,1.9,1.8,South Central
271,Humboldt City,86.2,41.7,35.9,0,26.6,53.1,41.4,19,38.4,43.8,1018,75.3,4.3,0.2,2.3,16.3,97.9,11121.5,79.8,15.9,17.4,0.4,0.1,68.5,20.2,9.7,-4.5,-3.8,-7.7,-4.7,-13.6,-2.6,6.8,-7.2,-3.5,Northwest
272,Milan SSD,77.2,70.5,84.3,56.9,49.3,76,65,49.6,69.4,71.8,1888,27.2,3,0.4,0.6,17.2,62.9,8749.8,30.6,20.6,10.4,1.4,0,96.8,1.9,1.6,18,14.1,7.8,0.7,-1.4,-5.7,-2.6,8.3,1.6,Northwest
273,Trenton SSD,91.6,84.7,75.6,64.5,44.6,82.6,76,50.6,62.9,53.6,1278,28.2,6,0,0.1,12.7,66.1,8916.6,34.2,18.6,10.5,2.8,0,83.5,11,0.7,24.7,4.5,27.3,-4.3,4.2,21.8,3.2,5,-6.2,Northwest
274,Bradford SSD,94.4,92.6,87.9,66.7,56.5,81.8,68.4,70.4,73.4,75.4,499,6.1,0.6,0,0,17.3,62.8,10143.5,6.7,18.7,11.4,0.9,0,100,0,-0.4,13.3,8.6,21.3,-3.4,11.1,-17.4,26.3,-3.1,-2.8,Northwest
275,Gibson County SSD,83.7,73.2,75.3,63,57.8,83.8,73.5,59.6,67.5,79.7,3832,7.8,2,0,0.4,13.3,42.3,7270,9.8,19.7,8.2,0,0,94.9,4,0.4,11.5,-2.3,5.1,-3,6.6,-0.6,10.5,2.3,-1.5,Northwest
280,Giles County,64.8,56.6,51.3,33.4,45.3,74.5,56.2,36.4,48.2,62.8,3796,17.2,2.1,0.4,0.5,12.4,61.5,8952.3,19.7,18.2,27.6,3.1,0.4,87.2,9.9,18.3,23.6,-4,-2.4,-1.5,9.1,-2.3,4.9,2.4,3.9,South Central
290,Grainger County,55.6,46.5,55.9,36.7,37.9,62.2,51.6,32.6,44.9,56.9,3385,0.7,5.5,0.2,0,16,66.3,8436.4,6.4,18,18.6,0.6,0.1,88.1,7.3,11.8,7,-1.8,12.9,-0.8,3.4,-1.4,2.7,2.7,-0.2,East TN
300,Greene County,64.1,57.1,63.2,50.5,43.4,71.8,61.8,37,45.9,59.7,6775,1.5,3.1,0.3,0.9,18,66.1,8282.5,4.9,18.9,18.1,5.7,0,93.7,3.1,-2.7,6.3,-4.5,-1.3,-0.7,0.9,-2.4,-2.5,0.4,0,First TN
301,Greeneville City,83.2,90.2,77.7,86.1,59.3,87.3,75.1,66,65.5,74.2,2674,9.8,7.8,0.9,3,16.6,47.2,10862.5,18.5,21.3,9.1,4.5,0,98.6,0.5,-6,30.9,-7.3,17.5,-1.1,7.3,-0.3,10,-0.4,-3.1,First TN
310,Grundy County,47.9,41.7,51.9,41.9,32.4,62,62,36.7,37.8,47.7,2105,0.2,1,0.1,0.4,19,81.2,9087.9,1.3,17.6,18.1,0.3,0,90,5.3,-12,-19.3,1.3,21.4,-2.8,-4.5,11.2,-5.7,4.5,4.3,Southeast
320,Hamblen County,76.7,63.3,70.9,43.9,48,74.1,68,41.1,58.3,69.3,9917,6.7,21.7,0.4,11.9,13.7,64.3,8109.2,28.8,19.7,5.2,3.7,0.4,91,6.4,-0.1,1.1,3.2,0.3,-1.4,-5.8,3.7,5.8,7.1,1.2,First TN
