"system","system_name","AlgI","AlgII","BioI","Chemistry","ELA","EngI","EngII","EngIII","Math","Science","Enrollment","Pct_Black","Pct_Hispanic","Pct_Native_American","Pct_EL","Pct_SWD","Pct_ED","Per_Pupil_Expenditures","Pct_BHN","ACT_composite","Pct_Chronically_Absent","Pct_Suspended","Pct_Expelled","Graduation","Dropout","CORE_region"
480,"Lake County",22.9,0,25,36.5,32.5,36.8,34.6,31.7,34.7,45.6,807,30.2,3.3,0.1,0.1,18.6,77,10813,33.6,16.4,31.2,5.5,0.1,89.4,6.4,"Northwest CORE"
490,"Lauderdale County",79.9,63.6,51.9,32.6,40.5,62,57.6,37.4,53.6,62,4263,43.6,3.1,0.9,0.9,17.1,81.3,8877.3,47.6,17.6,9.5,6.7,0,97,0.7,"Southwest/Memphis CORE"
500,"Lawrence County",87.2,63.3,75.9,55.8,57.3,77.9,70.1,38.8,69.1,75.4,6434,3.4,2.5,0.2,0.6,14.2,50.5,8387.1,6.1,19.2,20.7,2,0,94.5,3.6,"South Central CORE"
510,"Lewis County",54.1,23.5,52.7,24.4,47.6,68.2,62.3,31,50.2,57.4,1758,3.3,2.4,0.5,0,14.9,72.1,7985.1,6.2,18.5,19.4,1,0,87.1,9.1,"South Central CORE"
520,"Lincoln County",77,62.3,77.3,56.7,57.7,75.6,74.5,52.3,66.5,75.6,3798,3.4,4.2,0.4,1.2,13.6,57,8153.4,8,19.6,14,2.4,0,95.4,3.4,"South Central CORE"
521,"Fayetteville City",63.2,56,63.9,44.2,47.9,72.1,68.4,45.9,47.5,66.4,1422,31.9,5.2,0.1,1.2,13.1,53.2,8472.6,37.2,19.3,10.1,4.1,0,97.5,0,"South Central CORE"
530,"Loudon County",71.9,44.5,68.9,46.5,55.2,72.7,68.9,40.8,61.2,71.6,4639,3,10.8,0.2,3.6,13.2,54.9,8776.7,14,18.8,11.6,2.5,0.1,87.1,12,"East TN CORE"
531,"Lenoir City",66.6,76.7,65.3,54.4,33.8,76.8,68.8,49,45.1,58.4,2238,2.8,25.3,0.5,11.2,14.7,63.3,9135.6,28.6,18.9,15.9,5.8,0.3,90.8,5.9,"East TN CORE"
540,"McMinn County",78.2,47.2,71.6,35.4,47.6,68.7,69,45.2,51.9,67.4,5529,5.5,4.8,0.3,0.1,12.7,65.5,7869.6,10.6,18.9,15.3,4.3,0,95.7,3.2,"Southeast CORE"
541,"Athens City",100,NA,NA,NA,52.9,NA,NA,NA,59.4,62.5,1504,16.5,8,0.4,0.1,13.8,73.7,10444.7,24.9,NA,6.8,1.9,0,0,100,"Southeast CORE"
542,"Etowah City",NA,NA,NA,NA,38.8,NA,NA,NA,40.2,66.5,310,6.8,4.1,0.6,0,15.1,74,10807.6,11.5,NA,13.6,3.6,0,NA,NA,"Southeast CORE"
550,"McNairy County",59.2,62,60,36.1,47,69.6,65.2,53.3,59.4,63.9,4136,8.2,1.6,0.1,0.2,13.1,58.1,7790.4,9.9,18.6,4.7,1.1,0,94.3,3.4,"Southwest/Memphis CORE"
